"country","year","ciri","cow","polity","unctry","unreg","unsubreg","human_rights_score","physint_sum","repression_sum","civpol_sum","workerrights_practices_sum","workerrights_laws_sum","disap","kill","polpris","tort","bbatrocity","bbatrocity_intensity","assn","formov","dommov","speech","elecsd","rel_free","wecon","wopol","wosoc_p","union_p","barg_p","hour_p","force_p","child_p","wage_p","safe_p","trafficking_p","injud","ngo_freedom","trial_p","wosoc_l","union_l","barg_l","hour_l","force_l","child_l","wage_l","safe_l","trafficking_l","trial_l"
"Trinidad and Tobago",2021,635,52,52,780,419,29,NA,6,NA,NA,9,12,2,1,2,1,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,1,1,1,1,2,1,NA,2,3,3,3,2,1,1,2,2,2,2,NA,3
"Benin",2021,155,434,434,204,2,11,NA,5,NA,NA,4,7,2,2,0,1,0,NA,0,NA,1,1,1,NA,NA,NA,1,0,1,1,1,1,0,0,NA,0,1,1,1,1,1,1,1,2,1,0,NA,1
"Denmark",2021,245,390,390,208,150,154,NA,7,NA,NA,12,13,2,2,2,1,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,2,2,1,1,2,2,NA,2,3,3,3,2,2,2,2,1,2,2,NA,3
"Chad",2021,203,483,483,148,2,17,NA,3,NA,NA,4,11,1,1,1,0,0,NA,1,NA,1,0,0,NA,NA,NA,1,1,1,0,1,0,0,1,NA,0,2,0,1,1,1,2,2,1,2,2,NA,2
"Kuwait",2021,380,690,690,414,142,145,NA,6,NA,NA,6,8,2,2,1,1,0,NA,1,NA,2,1,0,NA,NA,NA,1,1,0,1,0,1,2,1,NA,2,1,2,1,1,1,1,0,2,2,1,NA,3
"Bosnia Herzegovenia",2021,164,346,346,70,150,39,NA,7,NA,NA,5,8,2,2,2,1,0,NA,1,NA,0,1,1,NA,NA,NA,3,0,0,1,1,1,1,1,NA,1,1,1,3,1,1,1,1,2,1,1,NA,3
"Ecuador",2021,260,130,130,218,419,5,NA,6,NA,NA,5,10,1,2,2,1,0,NA,1,NA,2,1,1,NA,NA,NA,2,1,0,1,1,1,1,0,NA,0,3,0,3,1,0,2,2,2,2,1,NA,1
"Pakistan",2021,497,770,770,586,142,62,NA,3,NA,NA,2,2,1,1,1,0,0,NA,0,NA,2,0,0,NA,NA,NA,0,0,0,0,1,1,0,0,NA,0,1,0,0,0,0,0,1,1,0,0,NA,1
"Maldives",2021,425,781,781,462,142,62,NA,7,NA,NA,4,5,2,2,2,1,0,NA,1,NA,2,1,1,NA,NA,NA,1,0,0,1,1,1,1,0,NA,0,1,1,1,0,0,1,2,1,1,0,NA,2
"Tunisia",2021,638,616,616,788,2,15,NA,4,NA,NA,7,10,2,0,1,1,0,NA,1,NA,1,1,1,NA,NA,NA,2,2,0,1,2,1,0,1,NA,2,3,1,2,2,1,1,2,1,2,1,NA,2
"Kenya",2021,368,501,501,404,2,14,NA,3,NA,NA,NA,6,1,0,2,0,1,1,1,NA,1,1,0,NA,NA,NA,0,1,NA,0,0,0,1,0,NA,0,1,1,1,1,1,1,0,0,2,1,NA,2
"Liechtenstein",2021,404,223,223,438,150,155,NA,8,NA,NA,11,11,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,1,1,1,2,2,2,2,NA,2,3,3,3,1,1,1,2,2,2,2,NA,3
"Singapore",2021,572,830,830,702,142,35,NA,8,NA,NA,9,10,2,2,2,2,0,NA,0,NA,2,0,0,NA,NA,NA,1,1,1,1,1,1,2,2,NA,1,2,1,1,1,1,2,1,1,2,2,NA,1
"Samoa",2021,545,990,990,882,9,61,NA,8,NA,NA,7,8,2,2,2,2,0,NA,2,NA,2,2,1,NA,NA,NA,3,2,1,1,1,0,1,1,NA,2,3,1,3,2,1,1,1,0,1,2,NA,2
"Romania",2021,527,360,360,642,150,151,NA,5,NA,NA,3,10,2,0,2,1,0,NA,1,NA,1,1,1,NA,NA,NA,1,0,0,0,1,1,1,0,NA,0,2,1,3,1,1,1,2,2,2,1,NA,3
"Norway",2021,491,385,385,578,150,154,NA,8,NA,NA,10,10,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,1,1,2,1,1,2,NA,2,3,3,3,2,1,1,2,1,1,2,NA,3
"Lesotho",2021,395,570,570,426,2,18,NA,6,NA,NA,5,7,2,1,2,1,0,NA,1,NA,1,2,1,NA,NA,NA,2,1,1,1,1,0,0,1,NA,2,2,2,2,1,1,1,2,1,0,1,NA,3
"Cyprus",2021,236,352,352,196,142,145,NA,7,NA,NA,7,10,2,2,2,1,0,NA,1,NA,0,1,1,NA,NA,NA,3,1,2,0,1,2,0,1,NA,2,1,2,3,1,2,1,1,2,1,2,NA,3
"Vietnam",2021,677,816,818,704,142,35,NA,3,NA,NA,6,7,2,1,0,0,0,NA,1,NA,1,0,0,NA,NA,NA,1,1,1,1,1,0,2,0,NA,0,0,0,3,1,1,1,1,1,2,0,NA,1
"Chile",2021,206,155,155,152,419,5,NA,7,NA,NA,9,9,2,2,2,1,0,NA,2,NA,2,2,2,NA,NA,NA,1,1,1,1,1,1,2,2,NA,2,3,3,2,1,1,1,1,1,2,2,NA,2
"Iran",2021,341,630,630,364,142,62,NA,0,NA,NA,NA,4,0,0,0,0,1,3,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,1,1,1,0,0,1,NA,0
"Mauritania",2021,437,435,435,478,2,11,NA,6,NA,NA,4,6,2,2,2,0,0,NA,1,NA,1,1,1,NA,NA,NA,1,1,0,0,1,0,2,0,NA,0,3,1,1,1,0,1,2,0,2,0,NA,1
"South Sudan",2021,700,626,525,728,2,15,NA,1,NA,NA,0,5,0,0,1,0,1,2,0,NA,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,2,0,0,1,0,NA,0
"Bulgaria",2021,176,355,355,100,150,151,NA,6,NA,NA,8,12,2,2,2,0,0,NA,1,NA,1,1,1,NA,NA,NA,3,1,1,1,1,1,1,2,NA,1,2,1,3,2,1,1,2,2,2,2,NA,2
"Brunei",2021,173,835,835,96,142,35,NA,7,NA,NA,3,5,2,2,2,1,0,NA,1,NA,1,0,0,NA,NA,NA,1,1,0,0,1,1,0,0,NA,0,1,0,1,1,0,1,2,1,0,0,NA,2
"Estonia",2021,275,366,366,233,150,154,NA,8,NA,NA,12,13,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,2,1,1,2,2,2,NA,2,3,3,3,2,2,1,2,2,2,2,NA,3
"Uruguay",2021,665,165,165,858,419,5,NA,8,NA,NA,9,11,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,2,2,1,1,1,1,2,1,NA,2,3,2,3,2,1,1,2,1,2,2,NA,2
"Micronesia, Federated States of",2021,446,987,987,583,9,57,NA,8,NA,NA,4,6,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,2,0,0,1,2,0,0,1,NA,2,3,2,2,0,0,1,2,0,1,2,NA,3
"Barbados",2021,143,53,53,52,419,29,NA,8,NA,NA,6,11,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,2,1,0,1,2,1,0,1,NA,2,3,3,3,2,1,2,2,2,0,2,NA,3
"Mauritius",2021,440,590,590,480,2,14,NA,6,NA,NA,4,9,2,2,2,0,0,NA,1,NA,1,0,0,NA,NA,NA,3,1,1,0,1,1,0,0,NA,2,2,2,3,2,1,1,1,2,2,0,NA,3
"Cuba",2021,233,40,40,192,419,29,NA,4,NA,NA,1,4,1,2,1,0,0,NA,0,NA,0,0,0,NA,NA,NA,2,0,0,0,0,1,0,0,NA,0,0,0,2,0,0,0,0,2,1,1,NA,0
"Macedonia",2021,413,343,343,807,150,39,NA,7,NA,NA,5,12,2,2,2,1,0,NA,1,NA,1,1,1,NA,NA,NA,3,1,0,1,1,1,0,1,NA,0,2,1,3,2,1,2,2,2,1,2,NA,1
"Tuvalu",2021,647,947,947,798,9,61,NA,8,NA,NA,4,5,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,2,0,0,1,2,1,0,0,NA,2,2,3,2,0,0,1,2,1,0,1,NA,3
"Iceland",2021,332,395,395,352,150,154,NA,8,NA,NA,11,13,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,2,2,1,1,2,1,NA,2,3,3,3,2,2,2,2,1,2,2,NA,3
"Marshall Islands",2021,434,983,983,584,9,57,NA,8,NA,NA,3,5,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,2,0,0,0,2,1,0,0,NA,2,3,3,3,0,0,1,2,1,1,0,NA,2
"Spain",2021,593,230,230,724,150,39,NA,8,NA,NA,7,11,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,1,1,1,1,1,1,1,NA,1,3,2,3,1,1,1,2,2,2,2,NA,3
"Montenegro",2021,458,341,347,499,150,39,NA,6,NA,NA,6,11,2,2,2,0,0,NA,1,NA,1,1,0,NA,NA,NA,2,1,0,1,1,1,0,2,NA,0,2,0,3,1,1,1,2,2,2,2,NA,2
"Niger",2021,485,436,436,562,2,11,NA,5,NA,NA,2,6,2,1,1,1,0,NA,1,NA,1,1,1,NA,NA,NA,1,1,0,0,1,0,0,0,NA,0,2,1,1,1,0,1,2,1,1,0,NA,2
"Zimbabwe",2021,698,552,552,716,2,14,NA,3,NA,NA,2,4,2,1,0,0,0,NA,0,NA,1,0,0,NA,NA,NA,0,1,0,0,0,0,1,0,NA,0,1,0,0,1,0,1,0,1,1,0,NA,0
"East Timor",2021,257,860,860,626,142,35,NA,6,NA,NA,NA,NA,2,2,2,0,0,NA,2,NA,2,2,1,NA,NA,NA,1,NA,NA,0,1,0,1,0,NA,0,2,0,3,NA,NA,1,2,0,2,1,NA,0
